"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""2012 <= Year >= 2022"",""Source Validity >= Definite Tsunami""]"																																												
	2012	2	2	13	34	40.6	4	1	5442	7			"n"	"VANUATU"		"PORT VILA, EFATE ISLAND"	-17.7553	168.3077	124.805	2	13	50	0	15	2	14	1	0.08		2		"F"												
	2012	3	9	7	9	50.9	4	1	5706	6.7			"n"	"VANUATU"		"ANIWA ISLAND"	-19.25	169.6	13.904											1														
	2012	3	9	7	9	50.9	4	1	5706	6.7			"n"	"NEW CALEDONIA"		"OUINNE"	-21.9829	166.6833	439.783									0.05		2														
	2012	3	14	9	8	35.1	4	1	5446	6.9			"n"	"JAPAN"	"AOMORI"	"HACHINOHE"	40.533	141.533	290.888									0.2		2														
	2012	3	14	9	8	35.1	4	1	5446	6.9			"n"	"JAPAN"	"HOKKAIDO"	"HANASAKI"	43.2781	145.5678	270.558	14	9	38			14	14	15	0.06		2		"F"												
	2012	3	20	18	2	47.4	4	1	5447	7.4			"n"	"MEXICO"	"GUERRERO"	"ACAPULCO"	16.8379333	-99.903	182.395									0.2		2														
	2012	3	20	18	2	47.4	4	1	5447	7.4			"n"	"MEXICO"	"MICHOACAN"	"LAZARO CARDENAS"	17.94	-102.17833	449.333									0.07		2		"R"												
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MAURITIUS"		"RODRIGUES ISLAND, PORT MATHURIN"	-19.68024	63.42119	4052.374	11	13	50	5	12				0.22		2	17													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MALDIVES"		"HANIMAADHOO, HAA DHAALU"	6.767	73.167	2261.205	11	11	52	3	14				0.23		2	6													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDONESIA"	"ACEH"	"MEULABOH PORT, SUMATRA"	4.129	96.129	394.738	11	9	55	1	17				1.08		2	7													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MALDIVES"		"MALE"	4.18	73.52	2181.548									0.21		2	7													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"	"TAMIL NADU"	"CHENNAI (MADRAS)"	13.083	80.3	1841.573						11	18	20	0.18		2														
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"THAILAND"		"KO TAPHAO NOI"	7.8167	98.4167	848.931	11	11	33	2	55				0.05		2	5													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"SRI LANKA"		"TRINCOMALEE"	8.567	81.233	1480.915	11	11	14	2	36				0.11		2	32													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDONESIA"	"NORTH SUMATRA"	"TELUKDALAM, SUMATRA"	0.565796	97.820721	564.12	11	9	49	1	11				0.24		2	7													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"	"ANDHRA PRADESH"	"VISAKHAPATNAM"	17.65	83.28	2003.949						11	12	19	0.1		2														
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDONESIA"	"BENGKULU"	"ENGGANO ISLAND"	-5.4271	102.377289	1344.56	11	10	39	2	1				0.14		2	10													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"AUSTRALIA"		"COCOS ISLAND (KEELING)"	-12.117	96.883	1652.281	11	10	45	2	7				0.08		2	12													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"BANGLADESH"		"CHITTAGONG"	22.2667	91.8167	2210.139	12	6	55	22	17				0.23		2	45													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MYANMAR (BURMA)"		"SITTWE"	20.15	92.9	1971.744	12	14	22	29	44				0.08		2	26													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDONESIA"	"WEST SUMATRA"	"PADANG, SUMATRA"	-1.003	100.379	893.631	11	10	34	1	56				0.09		2	64													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"THAILAND"		"D23401 BPR, 600 NM W-NW OF PHUKET"	8.905	88.54	883.163	11	9	37	0	59				0.05		3	5													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"CAMPBELL BAY, GREAT NICOBAR IS."	6.9	93.7	510.605						11	9	42	0.3		2														
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"		"D23327 BPR, BAY OF BENGAL"	6.255	88.792	642.94	11	9	17	0	39				0.05		3	6													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"SEYCHELLES"		"POINTE LA RUE, MAHE ISLAND"	-4.6762	55.5294	4245.925	11	15	48	7	10				0.1		2	16													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MAURITIUS"		"PORT LOUIS HARBOUR"	-20.1573	57.5041	4610.486	11	15	14	6	36				0.17		2	7													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"AUSTRALIA"		"CAPE CUVIER"	-24.22	113.3975	3669.569	11	13	55	5	17				0.02		2	9													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"	"TAMIL NADU"	"ENNORE"	13.25	80.33	1850.793						11	11	51	0.09		2														
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"REUNION (FRENCH TERRITORY)"		"REUNION"	-20.935	55.2847	4855.261	11	15	27	6	49				0.05		2	15													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"MALDIVES"		"GAN"	-0.6867	73.1517	2240.949	11	11	19	2	41				0.04		2	44													
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"NANCOWRY ISLAND"	7.96	93.53	625.067						11	10	10	0.12		2														
	2012	4	11	8	38	36.7	4	1	5449	8.6			"n"	"INDONESIA"	"ACEH"	"SABANG, SUMATRA"	5.826	95.347	462.609	11	9	42	1	4				0.37		2	6													
	2012	4	11	10	43	10.8	4	1	5450	8.2			"n"	"MALDIVES"		"HANIMAADHOO, HAA DHAALU"	6.767	73.167	2241.592	11	14	16	3	32				0.18		2	6													
	2012	4	11	10	43	10.8	4	1	5450	8.2			"n"	"INDIA"		"D23327 BPR, BAY OF BENGAL"	6.255	88.792	727.9	11	11	32		48				0.03		3	10													
	2012	4	11	10	43	10.8	4	1	5450	8.2			"n"	"INDONESIA"	"BENGKULU"	"ENGGANO ISLAND"	-5.4271	102.377289	1299.738	11	12	42	1	58				0.22		2	6													
	2012	4	11	10	43	10.8	4	1	5450	8.2			"n"	"THAILAND"		"D23401 BPR, 600 NM W-NW OF PHUKET"	8.905	88.54	995.974	11	12	11	1	27				0.04		3	7													
	2012	4	14	22	5	26.4	4	1	5451	6.3			"n"	"NEW CALEDONIA"		"LIFOU ISLAND"	-20.919	167.279	264.344									0.05		2														
	2012	8	27	4	37	19.4	4	1	5462	7.3			"n"	"CHILE"	"VALPARAISO (ISLA DE PASCUA)"	"EASTER ISLAND"	-27.15	-109.45	4896.306						27	17	23	0.2		2														
	2012	8	27	4	37	19.4	4	1	5462	7.3			"n"	"CHILE"	"VALPARAISO (JUAN FERNANDEZ)"	"JUAN FERNANDEZ ISLANDS"	-33.636017	-78.829881	5170.442	27	13	0	8	23	27	16	20	0.07		2														
	2012	8	27	4	37	19.4	4	1	5462	7.3			"n"	"CHILE"	"VALPARAISO"	"VALPARAISO"	-33.02767128	-71.62787275	5313.36	27	13	5	8	28	27	15	18	0.06		2														
